N°;DEPARTEMENT;COMMUNE;ARRONDISSEMENT;VILLAGE_QUARTIER;CENTRE DE VOTE;POSTE DE VOTE;LATITUDE;LONGITUDE
1;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 01;11.380405;2.433189
2;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 02;11.380405;2.433189
3;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 03;11.380405;2.433189
4;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP ARBONGA;PV 04;11.380405;2.433189
5;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;EPP KIRIGOU;PV 01;11.380405;2.433189
6;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;MAISON DES JEUNES D'ARBONGA;PV 01;11.380405;2.433189
7;ALIBORI;BANIKOARA;BANIKOARA;ARBONGA;SALLE DE REUNION TISSOUA;PV 01;11.380405;2.433189
8;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 01;11.3058737;2.4316365
9;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 02;11.3058737;2.4316365
10;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;ECOLE MATERNELLE;PV 03;11.3058737;2.4316365
11;ALIBORI;BANIKOARA;BANIKOARA;AVIATION;EPP OROU GNONROU G/ A;PV 01;11.3058737;2.4316365
12;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP BATRAN;PV 01;11.4017301;2.3697388
13;ALIBORI;BANIKOARA;BANIKOARA;BATRAN;EPP YAMANIPOGOU;PV 01;11.4017301;2.3697388
14;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 01;11.3038677;2.4373233
15;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 02;11.3038677;2.4373233
16;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;BUREAU D'ARRONDISSEMENT;PV 03;11.3038677;2.4373233
17;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 01;11.3038677;2.4373233
18;ALIBORI;BANIKOARA;BANIKOARA;DEMANOU;EPP DEMANOU;PV 02;11.3038677;2.4373233
19;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 01;11.2943515;2.3980842
20;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 02;11.2943515;2.3980842
21;ALIBORI;BANIKOARA;BANIKOARA;DEROU GAROU;EPP DEROU GAROU G/A ET B;PV 03;11.2943515;2.3980842
22;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP GBEGBABI;PV 01;11.2409072;2.4926661
23;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP GBEGBABI;PV 02;11.2409072;2.4926661
24;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;EPP ILORI;PV 01;11.2409072;2.4926661
25;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;PLACE PUBLIQUE KPEWOUGOUBANROU;PV 01;11.2409072;2.4926661
26;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;MAGASIN GVPC ANSONKPIAN;PV 01;11.2409072;2.4926661
27;ALIBORI;BANIKOARA;BANIKOARA;GBEGBABI;MAGASIN GVPC GBEGBABI;PV 01;11.2409072;2.4926661
28;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP GUINGUIRE;PV 01;11.4262183;2.4310523
29;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP GUINGUIRE;PV 02;11.4262183;2.4310523
30;ALIBORI;BANIKOARA;BANIKOARA;GUINGUIRE;EPP PAMPIM-GUINGUIRE;PV 01;11.4262183;2.4310523
31;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP BOGOUKPIRA;PV 01;11.3289868;2.4128907
32;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP BOGOUKPIRA;PV 02;11.3289868;2.4128907
33;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP KINGAROU;PV 01;11.3289868;2.4128907
34;ALIBORI;BANIKOARA;BANIKOARA;KINGAROU;EPP TOUMAROU;PV 01;11.3289868;2.4128907
35;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 01;11.2947496;2.4375925
36;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 02;11.2947496;2.4375925
37;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP CENTRE G/ A ET B;PV 03;11.2947496;2.4375925
38;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP/KOKIRE;PV 01;11.2947496;2.4375925
39;ALIBORI;BANIKOARA;BANIKOARA;KOKIRE;EPP/TANTANNI;PV 01;11.2947496;2.4375925
40;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 01;11.2881836;2.4238582
41;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 02;11.2881836;2.4238582
42;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;EPP KOMMON;PV 03;11.2881836;2.4238582
43;ALIBORI;BANIKOARA;BANIKOARA;KOMMON;MAISON DES JEUNES DE KOMMON;PV 01;11.2881836;2.4238582
44;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP BOUROU MBOURO;PV 01;11.4266148;2.4140913
45;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP KORI;PV 01;11.4266148;2.4140913
46;ALIBORI;BANIKOARA;BANIKOARA;KORI GUIGUIRI;EPP YIGUIWIROU;PV 01;11.4266148;2.4140913
47;ALIBORI;BANIKOARA;BANIKOARA;KPAGAGUEDOU;EPP KPAGAGUEDOU;PV 01;11.2855264;2.3845657
48;ALIBORI;BANIKOARA;BANIKOARA;KPAGAGUEDOU;EPP KPAGAGUEDOU;PV 02;11.2855264;2.3845657
49;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP BOGOUKPIRA;PV 01;11.2975268;2.4281033
50;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP BOGOUKPIRA;PV 02;11.2975268;2.4281033
51;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 01;11.2975268;2.4281033
52;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 02;11.2975268;2.4281033
53;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP OROU GNONROU G/A ET B;PV 03;11.2975268;2.4281033
54;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;EPP TOUMAROU;PV 01;11.2975268;2.4281033
55;ALIBORI;BANIKOARA;BANIKOARA;OROU GNONROU;MAGASIN GVPC OROU GNONROU;PV 01;11.2975268;2.4281033
56;ALIBORI;BANIKOARA;BANIKOARA;SAMANGA;EPP ALBERE;PV 01;11.2708097;2.4530518
57;ALIBORI;BANIKOARA;BANIKOARA;SAMANGA;EPP SAMANGA;PV 01;11.2708097;2.4530518
58;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP SOUBOGOU;PV 01;11.3035924;2.4149844
59;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP SOUBOGOU;PV 02;11.3035924;2.4149844
60;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TIYO;PV 01;11.3035924;2.4149844
61;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TOKEY BANTA G/A ET B;PV 01;11.3035924;2.4149844
62;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP TOKEY BANTA G/A ET B;PV 02;11.3035924;2.4149844
63;ALIBORI;BANIKOARA;BANIKOARA;TOKEY-BANTA;EPP YAMANIPOGOU;PV 01;11.3035924;2.4149844
64;ALIBORI;BANIKOARA;BANIKOARA;WAGOU;EPP KPESSARASSON;PV 01;11.2777422;2.4061885
65;ALIBORI;BANIKOARA;BANIKOARA;WAGOU;EPP WAGOU;PV 01;11.2777422;2.4061885
66;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;BUREAU ACOODER;PV 01;11.3088517;2.426545
67;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;BUREAU ACOODER;PV 02;11.3088517;2.426545
68;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;EPP WETEROU;PV 01;11.3088517;2.426545
69;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;EPP WETEROU;PV 02;11.3088517;2.426545
70;ALIBORI;BANIKOARA;BANIKOARA;WETEROU;LE STADE MUNICIPAL;PV 01;11.3088517;2.426545
71;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 01;11.2960636;2.4416354
72;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 02;11.2960636;2.4416354
73;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 03;11.2960636;2.4416354
74;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 04;11.2960636;2.4416354
75;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;BUREAU UCPC 1;PV 05;11.2960636;2.4416354
76;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;ECOLE MATERNELLE;PV 01;11.2960636;2.4416354
77;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;EPP BAMONGO;PV 01;11.2960636;2.4416354
78;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;PLACE PUBLIQUE NIMA;PV 01;11.2960636;2.4416354
79;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;EPP YABERE;PV 01;11.2960636;2.4416354
80;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;EPP YADIKPAROU G/B;PV 01;11.2960636;2.4416354
81;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;EPP YADIKPAROU G/B;PV 02;11.2960636;2.4416354
82;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;EPP YADIKPAROU G/B;PV 03;11.2960636;2.4416354
83;ALIBORI;BANIKOARA;BANIKOARA;YADIKPAROU;MAGASIN GVPC YADIKPAROU;PV 01;11.2960636;2.4416354
84;ALIBORI;BANIKOARA;FOUNOUGO;BOFOUNOU;CENTRE ALPHAB. BOFOUNOU;PV 01;11.4625546;2.6003036
85;ALIBORI;BANIKOARA;FOUNOUGO;BOFOUNOU;CENTRE ALPHAB. BOFOUNOU;PV 02;11.4625546;2.6003036
86;ALIBORI;BANIKOARA;FOUNOUGO;BOFOUNOU;PLACE PUBLIQUE BANDEGOU;PV 01;11.4625546;2.6003036
87;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-GAH;MAGASIN GVPC BOUROWE;PV 01;11.4742435;2.5309154
88;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-GAH;MAGASIN GVPC BOUROWE;PV 02;11.4742435;2.5309154
89;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-GAH;MAISON DES JEUNES PVM;PV 01;11.4742435;2.5309154
90;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 01;11.4765482;2.5326377
91;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 02;11.4765482;2.5326377
92;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 03;11.4765482;2.5326377
93;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 04;11.4765482;2.5326377
94;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 05;11.4765482;2.5326377
95;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;BUREAU D'ARRONDISSEMENT;PV 06;11.4765482;2.5326377
96;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;EM FOUNOUGO;PV 01;11.4765482;2.5326377
97;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;EPP BANFANNOU;PV 01;11.4765482;2.5326377
98;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;EPP FOUNOUGO G/B;PV 01;11.4765482;2.5326377
99;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;MAGASIN GV GANSSINSSON YABADOU;PV 01;11.4765482;2.5326377
100;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-SINAKPAROU;MAGASIN GV YABADOU;PV 01;11.4765482;2.5326377
101;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG FOUNOUGO;PV 01;11.4765482;2.5326377
102;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG FOUNOUGO;PV 02;11.4765482;2.5326377
103;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG FOUNOUGO;PV 03;11.4765482;2.5326377
104;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG FOUNOUGO;PV 04;11.4765482;2.5326377
105;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG FOUNOUGO;PV 05;11.4765482;2.5326377
106;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;CEG GANSSINSSON;PV 01;11.4765482;2.5326377
107;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;EPP GBANTE;PV 01;11.4765482;2.5326377
108;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;EPP GBEDODOU;PV 01;11.4765482;2.5326377
109;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;EPP GOSSIRA;PV 01;11.4765482;2.5326377
110;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;EPP TOROMA;PV 01;11.4765482;2.5326377
111;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;MAISON DES JEUNES DE FOUNOUGO;PV 01;11.4765482;2.5326377
112;ALIBORI;BANIKOARA;FOUNOUGO;FOUNOUGO-YOROUNON;MAISON DES JEUNES DE FOUNOUGO;PV 02;11.4765482;2.5326377
113;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;EPP DARE G/A ET B;PV 01;11.5333198;2.5947687
114;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;EPP DARE G/A ET B;PV 02;11.5333198;2.5947687
115;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;EPP DARE G/A ET B;PV 03;11.5333198;2.5947687
116;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;EPP GAMA;PV 01;11.5333198;2.5947687
117;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;EPP YABAKPIGOU;PV 01;11.5333198;2.5947687
118;ALIBORI;BANIKOARA;FOUNOUGO;GAMA;MAGASIN GVPC YINKOGA;PV 01;11.5333198;2.5947687
119;ALIBORI;BANIKOARA;FOUNOUGO;GAMMERE-ZONGO;EPP GAMMERE-ZONGO;PV 01;11.4765482;2.5326377
120;ALIBORI;BANIKOARA;FOUNOUGO;GAMMERE-ZONGO;EPP GAMMERE-ZONGO;PV 02;11.4765482;2.5326377
121;ALIBORI;BANIKOARA;FOUNOUGO;GAMMERE-ZONGO;EPP GAMMERE-ZONGO;PV 03;11.4765482;2.5326377
122;ALIBORI;BANIKOARA;FOUNOUGO;GAMMERE-ZONGO;MAGASIN GVPC BAGNANNI;PV 01;11.4765482;2.5326377
123;ALIBORI;BANIKOARA;FOUNOUGO;GOUGNIROU;EPP GOUGNIROU;PV 01;11.450728;2.460465
124;ALIBORI;BANIKOARA;FOUNOUGO;GOUGNIROU;EPP GOUGNIROU;PV 02;11.450728;2.460465
125;ALIBORI;BANIKOARA;FOUNOUGO;GOUGNIROU;MAGASIN GVPC GAMARE ZONGO;PV 01;11.450728;2.460465
126;ALIBORI;BANIKOARA;FOUNOUGO;GOUGNIROU-GAH;CENTRE D'ALPHABETISATION;PV 01;11.450728;2.460465
127;ALIBORI;BANIKOARA;FOUNOUGO;GOUGNIROU-GAH;CENTRE D'ALPHABETISATION;PV 02;11.450728;2.460465
128;ALIBORI;BANIKOARA;FOUNOUGO;IBOTO;EPP IBOTO;PV 01;11.4395394;2.4996088
129;ALIBORI;BANIKOARA;FOUNOUGO;IBOTO;EPP IBOTO;PV 02;11.4395394;2.4996088
130;ALIBORI;BANIKOARA;FOUNOUGO;IBOTO;MAGASIN GVPC BONTINNA;PV 01;11.4395394;2.4996088
131;ALIBORI;BANIKOARA;FOUNOUGO;IGRIGOU;EPP YABOUGOU (CPV);PV 01;11.5076921;2.611756
132;ALIBORI;BANIKOARA;FOUNOUGO;IGRIGOU;EPP YABOUGOU (CPV);PV 02;11.5076921;2.611756
133;ALIBORI;BANIKOARA;FOUNOUGO;IGRIGOU;EPP YABOUGOU (CPV);PV 03;11.5076921;2.611756
134;ALIBORI;BANIKOARA;FOUNOUGO;IGRIGOU;EPP YABOUGOU (CPV);PV 04;11.5076921;2.611756
135;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU KOTCHERA;EPP KANDEROU KOTCHERA;PV 01;11.648803;2.541731
136;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU KOTCHERA;EPP KANDEROU KOTCHERA;PV 02;11.648803;2.541731
137;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU KOTCHERA;EPP KANDEROU KOTCHERA;PV 03;11.648803;2.541731
138;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU KOTCHERA;EPP NIPOUNI;PV 01;11.648803;2.541731
139;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU KOTCHERA;MAGASIN GVPC DOGO;PV 01;11.648803;2.541731
140;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU YABADOU;EM KANDEROU;PV 01;11.6647561;2.5341242
141;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU YABADOU;EM KANDEROU;PV 02;11.6647561;2.5341242
142;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU YABADOU;EM KANDEROU;PV 03;11.6647561;2.5341242
143;ALIBORI;BANIKOARA;FOUNOUGO;KANDEROU YABADOU;EPP WOGOBIGA;PV 01;11.6647561;2.5341242
144;ALIBORI;BANIKOARA;FOUNOUGO;KONEY;PLACE PUBLIQUE SOUKITI;PV 01;11.4695035;2.5951554
145;ALIBORI;BANIKOARA;FOUNOUGO;KONEY;PLACE PUBLIQUE SOUKITI;PV 02;11.4695035;2.5951554
146;ALIBORI;BANIKOARA;FOUNOUGO;KONEY;EPP KONEY;PV 01;11.4695035;2.5951554
147;ALIBORI;BANIKOARA;FOUNOUGO;KONEY;EPP YANGUERI POGOU;PV 01;11.4695035;2.5951554
148;ALIBORI;BANIKOARA;FOUNOUGO;KONEY;MAGASIN GVPC GOBI N'KOROU;PV 01;11.4695035;2.5951554
149;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP KPAKO-GBABI;PV 01;11.5497524;2.524652
150;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP KPAKO-GBABI;PV 02;11.5497524;2.524652
151;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP KPAKO-GOUROU;PV 01;11.5497524;2.524652
152;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP KPAKO-SOUARAKPIKA;PV 01;11.5497524;2.524652
153;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP KPAKO-WONYANGOU;PV 01;11.5497524;2.524652
154;ALIBORI;BANIKOARA;FOUNOUGO;KPAKO-GBABI;EPP MARE GOUROU;PV 01;11.5497524;2.524652
155;ALIBORI;BANIKOARA;FOUNOUGO;POGOUSSOROU;PLACE PUBLIQUE POGOUSSOROU;PV 01;11.4730537;2.4891651
156;ALIBORI;BANIKOARA;FOUNOUGO;POGOUSSOROU;PLACE PUBLIQUE POGOUSSOROU;PV 02;11.4730537;2.4891651
157;ALIBORI;BANIKOARA;FOUNOUGO;SAMPETO;EPP ANKOUAMON;PV 01;11.6155252;2.4424866
158;ALIBORI;BANIKOARA;FOUNOUGO;SAMPETO;EPP ANKOUAMON;PV 02;11.6155252;2.4424866
159;ALIBORI;BANIKOARA;FOUNOUGO;SAMPETO;EPP ANKOUAMON;PV 03;11.6155252;2.4424866
160;ALIBORI;BANIKOARA;FOUNOUGO;SAMPETO;EPP SAMPETO;PV 01;11.6155252;2.4424866
161;ALIBORI;BANIKOARA;FOUNOUGO;SAMPETO;MAGASIN GVPC SISSOU;PV 01;11.6155252;2.4424866
162;ALIBORI;BANIKOARA;FOUNOUGO;SISSIANGANROU;EPP SISSIANGANROU;PV 01;11.4869287;2.451876
163;ALIBORI;BANIKOARA;FOUNOUGO;YANGUERI;EPP GBANRINKIRIGOU;PV 01;11.4770668;2.6621949
164;ALIBORI;BANIKOARA;FOUNOUGO;YANGUERI;EPP GBANRINKIRIGOU;PV 02;11.4770668;2.6621949
165;ALIBORI;BANIKOARA;FOUNOUGO;YANGUERI;EPP GBANRINKIRIGOU;PV 03;11.4770668;2.6621949
166;ALIBORI;BANIKOARA;FOUNOUGO;YANGUERI;EPP YANGUERI;PV 01;11.4770668;2.6621949
167;ALIBORI;BANIKOARA;FOUNOUGO;YANGUERI;MAGASIN GVPC GOUNGOUNNOU;PV 01;11.4770668;2.6621949
168;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP BAGAWONNI;PV 01;11.5379309;2.4601972
169;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP BAGAWONNI;PV 02;11.5379309;2.4601972
170;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP BAGAWONNI;PV 03;11.5379309;2.4601972
171;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP BAMBAGA;PV 01;11.5379309;2.4601972
172;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP TARA;PV 01;11.5379309;2.4601972
173;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP YAMBOURAKOROU;PV 01;11.5379309;2.4601972
174;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;EPP YINGNIMPOGOU;PV 01;11.5379309;2.4601972
175;ALIBORI;BANIKOARA;FOUNOUGO;YINGNIMPOGOU;MAGASIN GV GOUNGOUNNOU;PV 01;11.5379309;2.4601972
176;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;EPP/BANGNANNI;PV 01;11.3675001;2.471027
177;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;EPP/BONHANROU;PV 01;11.3675001;2.471027
178;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;EPP/BONHANROU;PV 02;11.3675001;2.471027
179;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;EPP/BONHANROU;PV 03;11.3675001;2.471027
180;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;EPP/BONHANROU;PV 04;11.3675001;2.471027
181;ALIBORI;BANIKOARA;GOMPAROU;BONHANROU;MAGAZIN GVPVC DANDEROU;PV 01;11.3675001;2.471027
182;ALIBORI;BANIKOARA;GOMPAROU;GNAMBANOU;EPP GNAMBANOU;PV 01;11.5153813;2.4118054
183;ALIBORI;BANIKOARA;GOMPAROU;GNAMBANOU;EPP GNAMBANOU;PV 02;11.5153813;2.4118054
184;ALIBORI;BANIKOARA;GOMPAROU;GNAMBANOU;MAGAZIN GVPVC YASSOUMAKOROU;PV 01;11.5153813;2.4118054
185;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GAHBAGA;EPP GAHBAGA;PV 01;11.3037028;2.5523344
186;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GAHBAGA;EPP GAHBAGA;PV 02;11.3037028;2.5523344
187;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GAHBAGA;MAGASIN YAYAGA;PV 01;11.3037028;2.5523344
188;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;BUREAU ARRONDISSEMENT;PV 01;11.3294022;2.4692403
189;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;BUREAU ARRONDISSEMENT;PV 02;11.3294022;2.4692403
190;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;BUREAU ARRONDISSEMENT;PV 03;11.3294022;2.4692403
191;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;EPP GOMPAROU G/A ET B;PV 01;11.3294022;2.4692403
192;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;EPP GOMPAROU G/A ET B;PV 02;11.3294022;2.4692403
193;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOKPADOU;EM GOMPAROU;PV 01;11.3294022;2.4692403
194;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOUSSIROU;EPP GOMPAROU QUARTIER;PV 01;11.32618;2.4754328
195;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOUSSIROU;EPP GOMPAROU QUARTIER;PV 02;11.32618;2.4754328
196;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOUSSIROU;MAGASIN RCF GOMPAROU;PV 01;11.32618;2.4754328
197;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOUSSIROU;MAGASIN RCF GOMPAROU;PV 02;11.32618;2.4754328
198;ALIBORI;BANIKOARA;GOMPAROU;GOMPAROU GOUSSIROU;USINE D'EGRENAGE COTON;PV 01;11.32618;2.4754328
199;ALIBORI;BANIKOARA;GOMPAROU;GOURE-EDEL;CENTRE ARTISANAL DE GAGOUROU;PV 01;11.3228817;2.4658707
200;ALIBORI;BANIKOARA;GOMPAROU;GOURE-EDEL;MAGAZIN GVPC GOURE-EDEL;PV 01;11.3228817;2.4658707
201;ALIBORI;BANIKOARA;GOMPAROU;KALI;EPP SIONKPEKOKA;PV 01;11.466378;2.4405422
202;ALIBORI;BANIKOARA;GOMPAROU;KALI;EPP SIONKPEKOKA;PV 02;11.466378;2.4405422
203;ALIBORI;BANIKOARA;GOMPAROU;KPESSANROU;EPP KPESSANROU;PV 01;11.3354301;2.4894014
204;ALIBORI;BANIKOARA;GOMPAROU;KPESSANROU;MAGAZIN GVPC KPESSANROU;PV 01;11.3354301;2.4894014
205;ALIBORI;BANIKOARA;GOMPAROU;NIEKOUBANTA;MAGAZIN GVPVC NIEKOUBANTA;PV 01;11.3692293;2.5167899
206;ALIBORI;BANIKOARA;GOMPAROU;NIEKOUBANTA;MAGAZIN GVPVC NIEKOUBANTA;PV 02;11.3692293;2.5167899
207;ALIBORI;BANIKOARA;GOMPAROU;PAMPIME;EPP SANISSISSI;PV 01;11.4475369;2.4417626
208;ALIBORI;BANIKOARA;GOMPAROU;PAMPIME;EPP/PAMPIME;PV 01;11.4475369;2.4417626
209;ALIBORI;BANIKOARA;GOMPAROU;PAMPIME;EPP/PAMPIME;PV 02;11.4475369;2.4417626
