N°;DEPARTEMENT;COMMUNE;ARRONDISSEMENT;VILLAGE_QUARTIER;CENTRE DE VOTE;POSTE DE VOTE
2474;ATACORA;OUASSA-PEHUNCO;PEHUNCO;NASSOU;EPP FIROU;PV 02
2475;ATACORA;OUASSA-PEHUNCO;PEHUNCO;NASSOU;EPP NASSOU;PV 01
2476;ATACORA;OUASSA-PEHUNCO;PEHUNCO;NASSOU;EPP YAKOURE;PV 01
2477;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHONCO-TATAPOURANOU;EPP PEHUNCO-TATAPOURANOU;PV 01
2478;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHONCO-TATAPOURANOU;EPP PEHUNCO-TATAPOURANOU;PV 02
2479;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO-GAH;EPP BAKOURE;PV 01
2480;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO-GAH;EPP BOKOSSI;PV 01
2481;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 01
2482;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 02
2483;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 03
2484;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 04
2485;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 05
2486;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP CENTRE;PV 06
2487;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP QUARTIER;PV 01
2488;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;EPP QUARTIER;PV 02
2489;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO I;HANGAR PLACE PUBLIQUE GORIBARA;PV 01
2490;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO II;EPP BERASSON;PV 01
2491;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO II;EPP BERASSON;PV 02
2492;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO II;EPP BERASSON;PV 03
2493;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO II;EPP BERASSON;PV 04
2494;ATACORA;OUASSA-PEHUNCO;PEHUNCO;PEHUNCO II;EPP SOAMBEREKOU;PV 01
2495;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 01
2496;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 02
2497;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 03
2498;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 04
2499;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 05
2500;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 06
2501;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 07
2502;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU;EPP SINAOURAROU;PV 08
2503;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU-GAH;EPP SINAOURAROU GAH;PV 01
2504;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SINAOURAROU-GAH;EPP SINAOURAROU GAH;PV 02
2505;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOAODOU;EPP BIBEKOU;PV 01
2506;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOAODOU;EPP BIBEKOU;PV 02
2507;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOAODOU;EPP SOAODOU;PV 01
2508;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOAODOU;EPP SOAODOU;PV 02
2509;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOASSARAROU;EPP SOASSARAROU;PV 01
2510;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOASSARAROU;EPP SOASSARAROU;PV 02
2511;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOMPAREROU-GAH;EPP SOMPAREROU-GAH;PV 01
2512;ATACORA;OUASSA-PEHUNCO;PEHUNCO;SOMPAREROU-GAH;EPP SOMPAREROU-GAH;PV 02
2513;ATACORA;OUASSA-PEHUNCO;PEHUNCO;WOKOU;EPP POUSSAKA;PV 01
2514;ATACORA;OUASSA-PEHUNCO;PEHUNCO;WOKOU;EPP POUSSAKA;PV 02
2515;ATACORA;OUASSA-PEHUNCO;PEHUNCO;WOKOU;EPP WOKOU;PV 01
2516;ATACORA;OUASSA-PEHUNCO;TOBRE;BANA;EPP BANA;PV 01
2517;ATACORA;OUASSA-PEHUNCO;TOBRE;BANA;EPP BANA;PV 02
2518;ATACORA;OUASSA-PEHUNCO;TOBRE;BOUDE;EPP BOUDE;PV 01
2519;ATACORA;OUASSA-PEHUNCO;TOBRE;BOUDE;EPP BOUDE;PV 02
2520;ATACORA;OUASSA-PEHUNCO;TOBRE;BOUDE;EPP YEBAKAROU;PV 01
2521;ATACORA;OUASSA-PEHUNCO;TOBRE;GAMBINOU;EPP GAMBINOU;PV 01
2522;ATACORA;OUASSA-PEHUNCO;TOBRE;GAMBINOU;HANGAR PLACE PUBLIQUE KIRIBENE;PV 01
2523;ATACORA;OUASSA-PEHUNCO;TOBRE;GAMBINOU;MAGASIN SONKPIAN;PV 01
2524;ATACORA;OUASSA-PEHUNCO;TOBRE;GONRI;EPP GONRI;PV 01
2525;ATACORA;OUASSA-PEHUNCO;TOBRE;GONRI;EPP GONRI;PV 02
2526;ATACORA;OUASSA-PEHUNCO;TOBRE;GOUNTIA;EPP GOUNTIA;PV 01
2527;ATACORA;OUASSA-PEHUNCO;TOBRE;GUIMBEREROU;EPP DANKEREROU;PV 01
2528;ATACORA;OUASSA-PEHUNCO;TOBRE;GUIMBEREROU;EPP DANKEREROU;PV 02
2529;ATACORA;OUASSA-PEHUNCO;TOBRE;GUIMBEREROU;EPP GUIMBEREROU;PV 01
2530;ATACORA;OUASSA-PEHUNCO;TOBRE;GUIMBEREROU;EPP TOBRE DAGOUROU;PV 01
2531;ATACORA;OUASSA-PEHUNCO;TOBRE;GUIMBEREROU;HANGAR PLACE PUBLIQUE KAMBANI;PV 01
2532;ATACORA;OUASSA-PEHUNCO;TOBRE;MARE OROU GAH;CEG TOBRE;PV 01
2533;ATACORA;OUASSA-PEHUNCO;TOBRE;NINGOUSSOUROU;EPP NINGOUSSOUROU;PV 01
2534;ATACORA;OUASSA-PEHUNCO;TOBRE;NINGOUSSOUROU;EPP NINGOUSSOUROU;PV 02
2535;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-KIKA;EPP KIKA;PV 01
2536;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-KIKA;EPP KIKA;PV 02
2537;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-KIKA;HANGAR PLACE PUBLIQUE DE SEKE;PV 01
2538;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-MARO;EPP OUASSA-MARO;PV 01
2539;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-MARO;EPP OUASSA-MARO;PV 02
2540;ATACORA;OUASSA-PEHUNCO;TOBRE;OUASSA-MARO;EPP OUASSA-MARO;PV 03
2541;ATACORA;OUASSA-PEHUNCO;TOBRE;SINAOU;EPP SINAOU;PV 01
2542;ATACORA;OUASSA-PEHUNCO;TOBRE;SINAOU;EPP SINAOU;PV 02
2543;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP KPEDORE;PV 01
2544;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP KPEDORE;PV 02
2545;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP KPEDORE;PV 03
2546;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP KPEDORE;PV 04
2547;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP TOBRE GROUPE/A;PV 01
2548;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP TOBRE GROUPE/A;PV 02
2549;ATACORA;OUASSA-PEHUNCO;TOBRE;TOBRE;EPP TOBRE GROUPE/B;PV 01
2550;ATACORA;OUASSA-PEHUNCO;TOBRE;TONRI;EPP TONRI;PV 01
2551;ATACORA;OUASSA-PEHUNCO;TOBRE;TONRI;EPP TONRI;PV 02
2552;ATACORA;OUASSA-PEHUNCO;TOBRE;TONRI;EPP TONRI;PV 03
2553;ATACORA;OUASSA-PEHUNCO;TOBRE;WAKAROU;EPP GANROU;PV 01
2554;ATACORA;OUASSA-PEHUNCO;TOBRE;WAKAROU;EPP WAKAROU;PV 01
2555;ATACORA;TANGUIETA;COTIAKOU;BOUNTA;EPP BOUNTA;PV 01
2556;ATACORA;TANGUIETA;COTIAKOU;BOUNTA;EPP BOUNTA;PV 02
2557;ATACORA;TANGUIETA;COTIAKOU;CORONCORE;EPP CORONCORE;PV 01
2558;ATACORA;TANGUIETA;COTIAKOU;CORONCORE;EPP CORONCORE;PV 02
2559;ATACORA;TANGUIETA;COTIAKOU;CORONCORE;EPP KPANAKATINGOU;PV 01
2560;ATACORA;TANGUIETA;COTIAKOU;COTIAKOU;ECOLE PRIMAIRE PUBLIQUE COTIAKOU;PV 01
2561;ATACORA;TANGUIETA;COTIAKOU;COTIAKOU;ECOLE PRIMAIRE PUBLIQUE COTIAKOU;PV 02
2562;ATACORA;TANGUIETA;COTIAKOU;COTIAKOU;ECOLE PRIMAIRE PUBLIQUE COTIAKOU;PV 03
2563;ATACORA;TANGUIETA;COTIAKOU;COTIAKOU;EPP KOSSO;PV 01
2564;ATACORA;TANGUIETA;COTIAKOU;DAGUIMAGNINNI;EPP DAGUIMAGNINNI;PV 01
2565;ATACORA;TANGUIETA;COTIAKOU;MANOUGOU;EPP MANOUNGOU;PV 01
2566;ATACORA;TANGUIETA;COTIAKOU;NOWERERE;EPP NOWERERE;PV 01
2567;ATACORA;TANGUIETA;COTIAKOU;NOWERERE;EPP NOWERERE;PV 02
2568;ATACORA;TANGUIETA;COTIAKOU;NOWERERE;EPP TCHATANFAKA;PV 01
2569;ATACORA;TANGUIETA;COTIAKOU;PARABOU;EPP PARABOU;PV 01
2570;ATACORA;TANGUIETA;COTIAKOU;PEMOMBOU;EPP PEMOMBOU;PV 01
2571;ATACORA;TANGUIETA;COTIAKOU;PENITINGOU;EPP PENITINGOU;PV 01
2572;ATACORA;TANGUIETA;COTIAKOU;TANFERE;EPP TANFERE;PV 01
2573;ATACORA;TANGUIETA;COTIAKOU;TORA;EPP TORA;PV 01
2574;ATACORA;TANGUIETA;COTIAKOU;TORA;EPP TORA;PV 02
2575;ATACORA;TANGUIETA;COTIAKOU;TORICONCONE;EPP KPATEPOUMBOU;PV 01
2576;ATACORA;TANGUIETA;COTIAKOU;TORICONCONE;EPP KPATEPOUMBOU;PV 02
2577;ATACORA;TANGUIETA;COTIAKOU;TORICONCONE;EPP TORICONCONE;PV 01
2578;ATACORA;TANGUIETA;N'DAHONTA;DONDONGOU;EPP DODONGOU;PV 01
2579;ATACORA;TANGUIETA;N'DAHONTA;DONDONGOU;EPP DODONGOU;PV 02
2580;ATACORA;TANGUIETA;N'DAHONTA;KOUGNIERI;EPP KOUGNIERI;PV 01
2581;ATACORA;TANGUIETA;N'DAHONTA;KOUGNIERI;EPP KOUGNIERI;PV 02
2582;ATACORA;TANGUIETA;N'DAHONTA;NATAGATA;EPP NANTAGATA;PV 01
2583;ATACORA;TANGUIETA;N'DAHONTA;NATAGATA;EPP NANTAGATA;PV 02
2584;ATACORA;TANGUIETA;N'DAHONTA;N'DAHONTA;COMPLEXE SCOLAIRE NDAHONTA A ET B;PV 01
2585;ATACORA;TANGUIETA;N'DAHONTA;N'DAHONTA;COMPLEXE SCOLAIRE NDAHONTA A ET B;PV 02
2586;ATACORA;TANGUIETA;N'DAHONTA;NIGNERI;EPP NIGNERI;PV 01
2587;ATACORA;TANGUIETA;N'DAHONTA;SAMMONGOU;EPP SAMMONGOU;PV 01
2588;ATACORA;TANGUIETA;N'DAHONTA;SAMMONGOU;EPP SAMMONGOU;PV 02
2589;ATACORA;TANGUIETA;N'DAHONTA;SAMMONGOU;EPP TANTINAFA;PV 01
2590;ATACORA;TANGUIETA;N'DAHONTA;SONTA;EPP SONTA;PV 01
2591;ATACORA;TANGUIETA;N'DAHONTA;SONTA;EPP SONTA;PV 02
2592;ATACORA;TANGUIETA;N'DAHONTA;TAHINKOU;EPP TANHINKOU;PV 01
2593;ATACORA;TANGUIETA;N'DAHONTA;TAPEKOU;EPP TAPEKOU;PV 01
2594;ATACORA;TANGUIETA;N'DAHONTA;TCHAETA;EPP MORI;PV 01
2595;ATACORA;TANGUIETA;N'DAHONTA;TCHAETA;EPP MORI;PV 02
2596;ATACORA;TANGUIETA;N'DAHONTA;TCHAETA;EPP TCHAETA;PV 01
2597;ATACORA;TANGUIETA;N'DAHONTA;TCHAETA;HANGAR PLACE PUBLIQUE SIGANAKANI;PV 01
2598;ATACORA;TANGUIETA;TAIACOU;BONGOU;EPP BONGOU;PV 01
2599;ATACORA;TANGUIETA;TAIACOU;DOUANI;EPP DOUANI;PV 01
2600;ATACORA;TANGUIETA;TAIACOU;DOUANI;EPP DOUANI;PV 02
2601;ATACORA;TANGUIETA;TAIACOU;FINTA;HANGAR PLACE PUBLIQUE FINTA;PV 01
2602;ATACORA;TANGUIETA;TAIACOU;HANTEKOU;EPP HANTEKOU;PV 01
2603;ATACORA;TANGUIETA;TAIACOU;KOGNIGA;EPP KOGNIGA;PV 01
2604;ATACORA;TANGUIETA;TAIACOU;KOTCHEKONGOU;EPP KOTCHEKONGOU;PV 01
2605;ATACORA;TANGUIETA;TAIACOU;KOUAYOTI;EPP TAIACOU CENTRE;PV 01
2606;ATACORA;TANGUIETA;TAIACOU;KOUAYOTI;EPP TAIACOU CENTRE;PV 02
2607;ATACORA;TANGUIETA;TAIACOU;KOUTCHOUTCHOUGOU;EPP KOUTCHOUNTCHOUNGOU;PV 01
2608;ATACORA;TANGUIETA;TAIACOU;MATANRGUI;EPP KOUMALI;PV 01
2609;ATACORA;TANGUIETA;TAIACOU;MATANRGUI;EPP MATANRGUI;PV 01
2611;ATACORA;TANGUIETA;TAIACOU;NONTINGOU;MAGASIN DE NONTINGOU;PV 01
2612;ATACORA;TANGUIETA;TAIACOU;NONTINGOU;MAGASIN DE NONTINGOU;PV 02
2613;ATACORA;TANGUIETA;TAIACOU;OUANKOU;EPP OUANKOU;PV 01
2614;ATACORA;TANGUIETA;TAIACOU;OUANKOU;EPP OUANKOU;PV 02
2615;ATACORA;TANGUIETA;TAIACOU;TAHONGOU;SALLE D'ALPHABETISATION;PV 01
2616;ATACORA;TANGUIETA;TAIACOU;TAIACOU;CEG TAIACOU;PV 01
2617;ATACORA;TANGUIETA;TAIACOU;YEHONGOU;MAGASIN YEHONGOU;PV 01
2618;ATACORA;TANGUIETA;TAIACOU;YEYEDI;HANGAR MARCHE YEYEDI;PV 01
2619;ATACORA;TANGUIETA;TAIACOU;YOUAKOU;EPP MAKOU;PV 01
2620;ATACORA;TANGUIETA;TAIACOU;YOUAKOU;EPP YOUAKOU;PV 01
2621;ATACORA;TANGUIETA;TANGUIETA;BIACOU;EPP BIACOU;PV 01
2622;ATACORA;TANGUIETA;TANGUIETA;BIACOU;EPP BIACOU;PV 02
2623;ATACORA;TANGUIETA;TANGUIETA;BOURGNINSOU;EPP BOURGNINSOU;PV 01
2624;ATACORA;TANGUIETA;TANGUIETA;BOURGNINSOU;EPP BOURGNINSOU;PV 02
2625;ATACORA;TANGUIETA;TANGUIETA;BOURGNINSOU;EPP KANGUIFAKOU;PV 01
2626;ATACORA;TANGUIETA;TANGUIETA;DJIDJIRE-BERI;CENTRE SOCIAL;PV 01
2627;ATACORA;TANGUIETA;TANGUIETA;DJIDJIRE-BERI;CENTRE SOCIAL;PV 02
2628;ATACORA;TANGUIETA;TANGUIETA;DJIDJIRE-BERI;CENTRE SOCIAL;PV 03
2629;ATACORA;TANGUIETA;TANGUIETA;DJIDJIRE-BERI;HANGAR PLACE DU MARCHE CENTRAL;PV 01
2630;ATACORA;TANGUIETA;TANGUIETA;DJIDJIRE-BERI;HANGAR PLACE DU MARCHE CENTRAL;PV 02
2631;ATACORA;TANGUIETA;TANGUIETA;GORO-BANI;EPP GODJE A,B,C,D;PV 01
2632;ATACORA;TANGUIETA;TANGUIETA;GORO-BANI;EPP GODJE A,B,C,D;PV 02
2633;ATACORA;TANGUIETA;TANGUIETA;GORO-BANI;EPP GODJE A,B,C,D;PV 03
2634;ATACORA;TANGUIETA;TANGUIETA;GORO-BANI;EPP GODJE A,B,C,D;PV 04
2635;ATACORA;TANGUIETA;TANGUIETA;GORO-BANI;EPP GODJE A,B,C,D;PV 05
2636;ATACORA;TANGUIETA;TANGUIETA;MAMOUSSA;EPP MAMOUSSA;PV 01
2637;ATACORA;TANGUIETA;TANGUIETA;MAMOUSSA;EPP MAMOUSSA;PV 02
2638;ATACORA;TANGUIETA;TANGUIETA;MAMOUSSA;HANGAR PLACE PUBLIQUE KANI;PV 01
2639;ATACORA;TANGUIETA;TANGUIETA;NANEBOU;EPP NANEBOU;PV 01
2640;ATACORA;TANGUIETA;TANGUIETA;NANEBOU;EPP NANEBOU;PV 02
2641;ATACORA;TANGUIETA;TANGUIETA;NANEBOU;HANGAR PLACE PUBLIQUE TAMBOKORE;PV 01
2642;ATACORA;TANGUIETA;TANGUIETA;PORHOUM;EPP PORHOUM;PV 01
2643;ATACORA;TANGUIETA;TANGUIETA;PORKA;EPP PORKA;PV 01
2644;ATACORA;TANGUIETA;TANGUIETA;PORKA;EPP PORKA;PV 02
2645;ATACORA;TANGUIETA;TANGUIETA;PORKA;EPP PORKA;PV 03
2646;ATACORA;TANGUIETA;TANGUIETA;PORKA;EPP PORKA;PV 04
2647;ATACORA;TANGUIETA;TANGUIETA;SEPOUNGA;EPP KOUOROU;PV 01
2648;ATACORA;TANGUIETA;TANGUIETA;SEPOUNGA;EPP KOUOROU;PV 02
2649;ATACORA;TANGUIETA;TANGUIETA;SEPOUNGA;EPP SEPOUNGA;PV 01
2650;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 01
2651;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 02
2652;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 03
2653;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 04
2654;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 05
2655;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 06
2656;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 07
2657;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU G/A, B, C;PV 08
2658;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU QUARTIER;PV 01
2659;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;EPP TCHOUTCHOUBOU QUARTIER;PV 02
2660;ATACORA;TANGUIETA;TANGUIETA;TCHOUTCHOUBOU;HANGAR PLACE PUBLIQUE KONTITINHOUN;PV 01
2661;ATACORA;TANGUIETA;TANGUIETA;TIELE;EPP DOHOHOUN TIELE;PV 01
2662;ATACORA;TANGUIETA;TANGUIETA;TIELE;EPP DOHOHOUN TIELE;PV 02
2663;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 01
2664;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 02
2665;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 03
2666;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 04
2667;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 05
2668;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 06
2669;ATACORA;TANGUIETA;TANGUIETA;YARKA;CEG TANGUIETA;PV 07
2670;ATACORA;TANGUIETA;TANGUIETA;YARKA;EPP TANGUIETA CENTRE;PV 01
2671;ATACORA;TANGUIETA;TANGUIETA;YARKA;EPP TANGUIETA CENTRE;PV 02
2672;ATACORA;TANGUIETA;TANONGOU;BATIA;EPP BATIA;PV 01
2673;ATACORA;TANGUIETA;TANONGOU;BATIA;EPP BATIA;PV 02
2674;ATACORA;TANGUIETA;TANONGOU;KAYARIKA;EPP KAYARIKA;PV 01
2675;ATACORA;TANGUIETA;TANONGOU;KAYARIKA;EPP KAYARIKA;PV 02
2676;ATACORA;TANGUIETA;TANONGOU;SANGOU;EPP SANGOU;PV 01
2677;ATACORA;TANGUIETA;TANONGOU;TANONGOU;EPP PESSEKOU;PV 01
2678;ATACORA;TANGUIETA;TANONGOU;TANONGOU;EPP PESSEKOU;PV 02
2679;ATACORA;TANGUIETA;TANONGOU;TANONGOU;EPP TANONGOU;PV 01
2680;ATACORA;TANGUIETA;TANONGOU;TCHAFARGA;EPP TCHAFARGA;PV 01
2681;ATACORA;TANGUIETA;TANONGOU;TCHATINGOU;EPP BRIKIRE;PV 01
2682;ATACORA;TANGUIETA;TANONGOU;TCHATINGOU;EPP TCHATINGOU;PV 01
2683;ATACORA;TANGUIETA;TANONGOU;TCHAWASSAKA;EPP TCHAWASSAKA;PV 01
2684;ATACORA;TANGUIETA;TANONGOU;TCHAWASSAKA;EPP TCHAWASSAKA;PV 02
2685;ATACORA;TANGUIETA;TANONGOU;YANGOU;EPP YANGOU;PV 01
2686;ATACORA;TANGUIETA;TANONGOU;YANGOU;EPP YANGOU;PV 02
2687;ATACORA;TOUKOUNTOUNA;KOUARFA;BOUYAGNINDI;EPP BOUYAGNINDI;PV 01
2688;ATACORA;TOUKOUNTOUNA;KOUARFA;BOUYAGNINDI;EPP BOUYAGNINDI;PV 02
2689;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUARFA;BUREAU ARRONDISSEMENT;PV 01
2690;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUARFA;BUREAU ARRONDISSEMENT;PV 02
2691;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUARFA;CEG KOUARFA;PV 01
2692;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUARFA;EP PRIVEE NOUVELLE ARCHE;PV 01
2693;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUARFA;EPP KOUARFA;PV 01
2694;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUBA;EPP KOUBA;PV 01
2695;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUBA;EPP KOUBA;PV 02
2696;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUBA;MAISON DES JEUNES;PV 01
2697;ATACORA;TOUKOUNTOUNA;KOUARFA;KOUBA;MAISON DES JEUNES;PV 02
2698;ATACORA;TOUKOUNTOUNA;KOUARFA;MOUNOUMBORIFA;EPP MOUNOUBORIFA;PV 01
2699;ATACORA;TOUKOUNTOUNA;KOUARFA;PEPERKOU;EPP PEPERKOU;PV 01
2700;ATACORA;TOUKOUNTOUNA;KOUARFA;PEPERKOU;EPP PEPERKOU;PV 02
2701;ATACORA;TOUKOUNTOUNA;KOUARFA;TAKISSARI;EPP TAKISSARI;PV 01
2702;ATACORA;TOUKOUNTOUNA;KOUARFA;TAKISSARI;EPP TAKISSARI;PV 02
2703;ATACORA;TOUKOUNTOUNA;KOUARFA;TAMPOBRE;EPP TAMPOBRE 1;PV 01
2704;ATACORA;TOUKOUNTOUNA;KOUARFA;TAMPOBRE;EPP TAMPOBRE 1;PV 02
2705;ATACORA;TOUKOUNTOUNA;KOUARFA;TAMPOBRE;EPP TAMPOBRE 1;PV 03
2706;ATACORA;TOUKOUNTOUNA;KOUARFA;TANDAFA;EPP TANDAFA;PV 01
2707;ATACORA;TOUKOUNTOUNA;KOUARFA;TANDAFA;EPP TANDAFA;PV 02
2708;ATACORA;TOUKOUNTOUNA;KOUARFA;TANKOKONA;EPP TANKOKONA;PV 01
2709;ATACORA;TOUKOUNTOUNA;KOUARFA;TCHOUNDEKOU;EPP TCHOUNDEKOU;PV 01
2710;ATACORA;TOUKOUNTOUNA;KOUARFA;WABOU;EPP WABOU;PV 01
2711;ATACORA;TOUKOUNTOUNA;KOUARFA;WABOU;EPP WABOU;PV 02
2712;ATACORA;TOUKOUNTOUNA;TAMPEGRE;BATITAMOU;EPP BATITAMOU;PV 01
2713;ATACORA;TOUKOUNTOUNA;TAMPEGRE;DIKOKORE;EPP DIKOKORE;PV 01
2714;ATACORA;TOUKOUNTOUNA;TAMPEGRE;KOKOTA;EPP KOKOTA;PV 01
2715;ATACORA;TOUKOUNTOUNA;TAMPEGRE;MAKO;EPP MAKO;PV 01
2716;ATACORA;TOUKOUNTOUNA;TAMPEGRE;NABAGA;EPP NABAGA;PV 01
2717;ATACORA;TOUKOUNTOUNA;TAMPEGRE;NABAGA;EPP NABAGA;PV 02
2718;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TAMPEGRE;BUREAU ARRONDISSEMENT;PV 01
2719;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TAMPEGRE;BUREAU ARRONDISSEMENT;PV 02
2720;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TAMPEGRE;BUREAU ARRONDISSEMENT;PV 03
2721;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TAMPEGRE;EPP TAMPEGRE II;PV 01
2722;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TAMPEGRE;MAISON DES JEUNES;PV 01
2723;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TANTOUGOU;EPP TANTOUGOU;PV 01
2724;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TANTOUGOU;EPP TANTOUGOU;PV 02
2725;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TCHANHORTA;EPP DITAPO;PV 01
2726;ATACORA;TOUKOUNTOUNA;TAMPEGRE;TCHANHORTA;EPP TCHANHORTA;PV 01
2727;ATACORA;TOUKOUNTOUNA;TAMPEGRE;WANSOKOU;EPP TANTAGA II;PV 01
2728;ATACORA;TOUKOUNTOUNA;TAMPEGRE;WANSOKOU;EPP WANSOKOU;PV 01
2729;ATACORA;TOUKOUNTOUNA;TAMPEGRE;WANSOKOU;MAISON DES JEUNES;PV 01
2730;ATACORA;TOUKOUNTOUNA;TAMPEGRE;WANSOKOU;MAISON DES JEUNES;PV 02
2731;ATACORA;TOUKOUNTOUNA;TAMPEGRE;WANSOKOU;EPP MAKO;PV 01
2732;ATACORA;TOUKOUNTOUNA;TOUKOUNTOUNA;BORIBANSIFA;EPP BORIBANSIFA;PV 01
2733;ATACORA;TOUKOUNTOUNA;TOUKOUNTOUNA;BORIBANSIFA;EPP BORIBANSIFA;PV 02
2734;ATACORA;TOUKOUNTOUNA;TOUKOUNTOUNA;BORIBANSIFA;EPP BORIBANSIFA;PV 03
